,en,sens
0,10.2709941864,
1,10.4554491043,
2,10.6432170868,
3,10.834356308,
4,11.0289287567,
5,11.2269945145,
6,11.4286174774,
7,11.6338615417,
8,11.842792511,
9,12.0554742813,
10,12.2719764709,
11,12.4923658371,
12,12.7167139053,
13,12.9450912476,
14,13.1775693893,
15,13.4142227173,
16,13.6551265717,
17,13.9003553391,
18,14.1499891281,
19,14.4041061401,
20,14.6627864838,
21,14.9261131287,
22,15.1941680908,
23,15.4670362473,
24,15.7448062897,
25,16.0275630951,
26,16.3153991699,
27,16.6084041595,
28,16.906671524,
29,17.2102966309,
30,17.5193710327,
31,17.8339996338,
32,18.1542758942,
33,18.480304718,
34,18.8121871948,
35,19.1500320435,
36,19.4939441681,
37,19.8440322876,
38,20.2004070282,
39,20.5631828308,
40,20.932472229,
41,21.3083953857,
42,21.6910667419,
43,22.0806121826,
44,22.4771537781,
45,22.8808174133,
46,23.2917289734,
47,23.7100219727,
48,24.1358242035,
49,24.5692749023,
50,25.010509491,
51,25.4596672058,
52,25.9168930054,
53,26.3823280334,
54,26.8561248779,
55,27.3384284973,
56,27.8293933868,
57,28.3291740417,
58,28.8379325867,
59,29.3558273315,
60,29.8830223083,
61,30.4196853638,
62,30.9659881592,7.73331244334e-06
63,31.5220985413,7.60517455527e-06
64,32.0881996155,7.46853529053e-06
65,32.6644668579,7.32401797634e-06
66,33.2510795593,7.17282984074e-06
67,33.8482284546,7.01621321307e-06
68,34.4561004639,6.85541600044e-06
69,35.0748901367,6.69168151134e-06
70,35.7047958374,6.52617736124e-06
71,36.3460083008,6.36006513057e-06
72,36.9987411499,6.19438189942e-06
73,37.663192749,6.03011907572e-06
74,38.3395767212,5.86817801315e-06
75,39.0281143188,5.70936597863e-06
76,39.7290115356,5.55439092441e-06
77,40.4424972534,5.40385453638e-06
78,41.1687927246,5.2582633208e-06
79,41.9081344604,5.11801591322e-06
80,42.6607551575,4.98341255945e-06
81,43.4268913269,4.85465964716e-06
82,44.2067871094,4.73187030016e-06
83,45.0006866455,4.61507149524e-06
84,45.80884552,4.50421753456e-06
85,46.6315155029,4.39918757138e-06
86,47.468963623,4.29979616893e-06
87,48.3214492798,4.20578539767e-06
88,49.1892433167,4.11688934773e-06
89,50.0726242065,4.03281783703e-06
90,50.9718704224,3.95322514227e-06
91,51.887260437,3.87775149401e-06
92,52.8190917969,3.8060292662e-06
93,53.7676620483,3.73768717884e-06
94,54.7332649231,3.67236545932e-06
95,55.7162094116,3.6097107087e-06
96,56.7168045044,3.54939327535e-06
97,57.7353668213,3.49110322429e-06
98,58.7722244263,3.43455805056e-06
99,59.8277053833,3.37950520224e-06
100,60.9021377563,3.32572299017e-06
101,61.9958686829,3.27302170829e-06
102,63.1092376709,3.22124462946e-06
103,64.2426071167,3.17026457691e-06
104,65.3963241577,3.11999151182e-06
105,66.5707626343,3.07036633602e-06
106,67.7662963867,3.02135752529e-06
107,68.9832992554,2.97295995217e-06
108,70.22215271,2.92519553654e-06
109,71.4832611084,2.87810908154e-06
110,72.7670135498,2.83176256448e-06
111,74.0738220215,2.7862400614e-06
112,75.4040985107,2.74163956174e-06
113,76.7582702637,2.69807449082e-06
114,78.1367492676,2.65566710594e-06
115,79.5399932861,2.61454992998e-06
116,80.9684448242,2.57486086583e-06
117,82.4225311279,2.53674350741e-06
118,83.9027404785,2.50034294539e-06
119,85.409538269,2.46580698144e-06
120,86.9433898926,2.43328072559e-06
121,88.5047912598,2.4029049941e-06
122,90.0942230225,2.37481718718e-06
123,91.7122116089,2.34914675431e-06
124,93.3592529297,2.32601435004e-06
125,95.0358734131,2.30553029558e-06
126,96.7425994873,2.28779200366e-06
127,98.4799804688,2.27288407807e-06
128,100.248565674,2.26087638212e-06
129,102.048904419,2.25182116887e-06
130,103.881584167,2.24575494432e-06
131,105.747177124,2.24269713288e-06
132,107.646270752,2.24264676274e-06
133,109.579467773,2.24558690608e-06
134,111.54737854,2.25148302536e-06
135,113.550636292,2.26028332585e-06
136,115.589874268,2.27191997191e-06
137,117.665725708,2.28630984744e-06
138,119.77885437,2.30335717689e-06
