,en,sens
0,10.2709941864,
1,10.4554491043,
2,10.6432170868,
3,10.834356308,
4,11.0289287567,
5,11.2269945145,
6,11.4286174774,
7,11.6338615417,
8,11.842792511,
9,12.0554742813,
10,12.2719764709,
11,12.4923658371,
12,12.7167139053,
13,12.9450912476,
14,13.1775693893,
15,13.4142227173,
16,13.6551265717,
17,13.9003553391,
18,14.1499891281,
19,14.4041061401,
20,14.6627864838,
21,14.9261131287,
22,15.1941680908,
23,15.4670362473,
24,15.7448062897,
25,16.0275630951,
26,16.3153991699,
27,16.6084041595,
28,16.906671524,
29,17.2102966309,
30,17.5193710327,
31,17.8339996338,
32,18.1542758942,
33,18.480304718,
34,18.8121871948,
35,19.1500320435,
36,19.4939441681,
37,19.8440322876,
38,20.2004070282,
39,20.5631828308,
40,20.932472229,
41,21.3083953857,
42,21.6910667419,
43,22.0806121826,
44,22.4771537781,
45,22.8808174133,
46,23.2917289734,
47,23.7100219727,
48,24.1358242035,
49,24.5692749023,
50,25.010509491,
51,25.4596672058,
52,25.9168930054,
53,26.3823280334,
54,26.8561248779,
55,27.3384284973,
56,27.8293933868,
57,28.3291740417,
58,28.8379325867,
59,29.3558273315,
60,29.8830223083,
61,30.4196853638,
62,30.9659881592,2.24086841345e-12
63,31.5220985413,2.25131465921e-12
64,32.0881996155,2.2585968815e-12
65,32.6644668579,2.26271031374e-12
66,33.2510795593,2.26384294532e-12
67,33.8482284546,2.26221968081e-12
68,34.4561004639,2.25809406727e-12
69,35.0748901367,2.25174761707e-12
70,35.7047958374,2.24346657372e-12
71,36.3460083008,2.23356448114e-12
72,36.9987411499,2.2223434657e-12
73,37.663192749,2.21011724601e-12
74,38.3395767212,2.19719662045e-12
75,39.0281143188,2.18388532916e-12
76,39.7290115356,2.17047416275e-12
77,40.4424972534,2.15723805776e-12
78,41.1687927246,2.14443533344e-12
79,41.9081344604,2.1323009096e-12
80,42.6607551575,2.12104535309e-12
81,43.4268913269,2.11085374717e-12
82,44.2067871094,2.10188253038e-12
83,45.0006866455,2.09425840891e-12
84,45.80884552,2.08808146791e-12
85,46.6315155029,2.08341977343e-12
86,47.468963623,2.08031180864e-12
87,48.3214492798,2.07875791756e-12
88,49.1892433167,2.07874984774e-12
89,50.0726242065,2.08026132122e-12
90,50.9718704224,2.08322941518e-12
91,51.887260437,2.08757327906e-12
92,52.8190917969,2.09319700486e-12
93,53.7676620483,2.09998987078e-12
94,54.7332649231,2.10783390591e-12
95,55.7162094116,2.1166016882e-12
96,56.7168045044,2.12616562838e-12
97,57.7353668213,2.13639656677e-12
98,58.7722244263,2.14716926053e-12
99,59.8277053833,2.15836455741e-12
100,60.9021377563,2.16987133834e-12
101,61.9958686829,2.18158958351e-12
102,63.1092376709,2.19343159218e-12
103,64.2426071167,2.20532277616e-12
104,65.3963241577,2.21720721851e-12
105,66.5707626343,2.22904738273e-12
106,67.7662963867,2.24082265457e-12
107,68.9832992554,2.25253049214e-12
108,70.22215271,2.26418930526e-12
109,71.4832611084,2.27583799788e-12
110,72.7670135498,2.28753192374e-12
111,74.0738220215,2.29935010294e-12
112,75.4040985107,2.31138966344e-12
113,76.7582702637,2.32376933887e-12
114,78.1367492676,2.33662439908e-12
115,79.5399932861,2.35011149011e-12
116,80.9684448242,2.36440347999e-12
117,82.4225311279,2.37969095597e-12
118,83.9027404785,2.39618211165e-12
119,85.409538269,2.41410187087e-12
120,86.9433898926,2.43368835994e-12
121,88.5047912598,2.45519281501e-12
122,90.0942230225,2.47887930844e-12
123,91.7122116089,2.5050224029e-12
124,93.3592529297,2.53390364917e-12
125,95.0358734131,2.56581171531e-12
126,96.7425994873,2.60103805887e-12
127,98.4799804688,2.63987702778e-12
128,100.248565674,2.68262201359e-12
129,102.048904419,2.72956084266e-12
130,103.881584167,2.78097770448e-12
131,105.747177124,2.83714827326e-12
132,107.646270752,2.8983346322e-12
133,109.579467773,2.96478877209e-12
134,111.54737854,3.03674821625e-12
135,113.550636292,3.11443473047e-12
136,115.589874268,3.19805291153e-12
137,117.665725708,3.28778890862e-12
138,119.77885437,3.38381288781e-12
