,en,sens
0,300.0,3.45122867815e-06
1,301.0,3.44873721194e-06
2,302.0,3.44624669064e-06
3,303.0,3.44375715204e-06
4,304.0,3.44126852056e-06
5,305.0,3.43878083399e-06
6,306.0,3.43629409234e-06
7,307.0,3.43380829559e-06
8,308.0,3.43132344375e-06
9,309.0,3.42883953683e-06
10,310.0,3.42635657482e-06
11,311.0,3.42387455772e-06
12,312.0,3.42139348553e-06
13,313.0,3.41891335825e-06
14,314.0,3.41643421368e-06
15,315.0,3.41395597622e-06
16,316.0,3.41147872147e-06
17,317.0,3.40900241163e-06
18,318.0,3.40652704671e-06
19,319.0,3.40405262669e-06
20,320.0,3.40157915159e-06
21,321.0,3.39910665919e-06
22,322.0,3.3966351117e-06
23,323.0,3.39416450913e-06
24,324.0,3.39169488926e-06
25,325.0,3.38922617651e-06
26,326.0,3.38675848426e-06
27,327.0,3.38429169913e-06
28,328.0,3.38182589671e-06
29,329.0,3.37936103919e-06
30,330.0,3.37689716438e-06
31,331.0,3.37443423449e-06
32,332.0,3.3719722873e-06
33,333.0,3.36951128502e-06
34,334.0,3.36705122766e-06
35,335.0,3.364592153e-06
36,336.0,3.36213406105e-06
37,337.0,3.35967691401e-06
38,338.0,3.35722071188e-06
39,339.0,3.35476553026e-06
40,340.0,3.35231125575e-06
41,341.0,3.34985800175e-06
42,342.0,3.34740569265e-06
43,343.0,3.34495432847e-06
44,344.0,3.34250398479e-06
45,345.0,3.34005458602e-06
46,346.0,3.33760616996e-06
47,347.0,3.33515869882e-06
48,348.0,3.33271221037e-06
49,349.0,3.33026670464e-06
50,350.0,3.32782218162e-06
51,351.0,3.3253786035e-06
52,352.0,3.32293604589e-06
53,353.0,3.32049443319e-06
54,354.0,3.3180538032e-06
55,355.0,3.31561415592e-06
56,356.0,3.31317545354e-06
57,357.0,3.31073777167e-06
58,358.0,3.30830107251e-06
59,359.0,3.30586531826e-06
60,360.0,3.30343054672e-06
61,361.0,3.30099679568e-06
62,362.0,3.29856398956e-06
63,363.0,3.29613220393e-06
64,364.0,3.29370136322e-06
65,365.0,3.29127154301e-06
66,366.0,3.28884266772e-06
67,367.0,3.28641481293e-06
68,368.0,3.28398794084e-06
69,369.0,3.28156205146e-06
70,370.0,3.27913714479e-06
71,371.0,3.27671322083e-06
72,372.0,3.27429031737e-06
73,373.0,3.27186835883e-06
74,374.0,3.26944742079e-06
75,375.0,3.26702746545e-06
76,376.0,3.26460849282e-06
77,377.0,3.2621905407e-06
78,378.0,3.25977357128e-06
