,emin,de,sens,emax,en
0,20.25,5.0,1.00811071658e-11,25.25,22.6122201475
1,25.25,5.0,4.27791471619e-12,30.25,27.6371579581
2,30.25,5.0,3.07073237134e-12,35.25,32.6544407394
3,35.25,5.0,2.92447460589e-12,40.25,37.6671275783
4,40.25,5.0,2.99763603117e-12,45.25,42.6768379803
5,45.25,5.0,3.33694548271e-12,50.25,47.6845100635
6,50.25,5.0,7.88359827806e-12,55.25,52.6907249903
7,55.25,5.0,7.33433849572e-12,60.25,57.69586207
8,60.25,5.0,9.20403643281e-12,65.25,62.7001794256
9,65.25,5.0,1.01334537861e-11,70.25,67.7038588265
10,70.25,5.0,4.19329010414e-12,75.25,72.7070319845
11,75.25,5.0,4.13322008805e-12,80.25,77.7097966797
12,80.25,5.0,4.06193606181e-12,85.25,82.7122270284
13,85.25,5.0,4.55668461364e-12,90.25,87.7143802349
14,90.25,5.0,9.01920188775e-12,95.25,92.7163011557
15,95.25,5.0,6.2048046132e-12,100.25,97.718025461
16,100.25,5.0,6.33401748012e-12,105.25,102.719581872
17,105.25,5.0,4.80792515492e-12,110.25,107.720993776
18,110.25,5.0,5.03026617768e-12,115.25,112.722280406
19,115.25,10.0,4.07035152331e-12,125.25,120.146004927
20,125.25,10.0,4.45610266168e-12,135.25,130.153995329
21,135.25,10.0,1.04772692153e-11,145.25,140.160845103
22,145.25,10.0,4.97006795444e-12,155.25,150.166782279
23,155.25,10.0,5.42265057034e-12,165.25,160.171977886
24,165.25,10.0,6.22531354641e-12,175.25,170.176562722
25,175.25,10.0,6.94453016346e-12,185.25,180.180638527
26,185.25,10.0,8.90682913146e-12,195.25,190.184285628
27,195.25,10.0,1.87242684825e-11,205.25,200.187568295
28,205.25,10.0,6.78648077895e-12,215.25,210.19053856
29,215.25,10.0,6.94574269606e-12,225.25,220.193238997
30,225.25,10.0,7.26523812124e-12,235.25,230.195704782
31,235.25,10.0,7.88316842664e-12,245.25,240.197965229
32,245.25,10.0,8.03510098322e-12,255.25,250.200044964
33,255.25,10.0,8.55737425344e-12,265.25,260.201964827
34,265.25,10.0,9.31909775593e-12,275.25,270.203742572
35,275.25,10.0,9.52622387678e-12,285.25,280.205393417
36,285.25,10.0,9.73012792998e-12,295.25,290.206930482
37,295.25,10.0,1.14471892436e-11,305.25,300.20836514
38,305.25,10.0,1.18194482917e-11,315.25,310.209707295
39,315.25,10.0,1.12188713053e-11,325.25,320.210965615
40,325.25,10.0,1.17275011272e-11,335.25,330.212147717
41,335.25,10.0,1.18072689889e-11,345.25,340.213260324
42,345.25,10.0,1.22843734444e-11,355.25,350.214309388
43,355.25,10.0,1.25421735669e-11,365.25,360.215300203
44,365.25,10.0,1.32625356973e-11,375.25,370.216237488
45,375.25,10.0,1.35388594481e-11,385.25,380.217125469
46,385.25,10.0,1.43406442163e-11,395.25,390.217967936
47,395.25,10.0,1.48354767688e-11,405.25,400.218768301
48,405.25,10.0,1.28987477024e-11,415.25,410.219529642
49,415.25,10.0,1.31245512863e-11,425.25,420.220254747
50,425.25,10.0,1.38546770272e-11,435.25,430.220946143
51,435.25,10.0,1.85803420023e-11,445.25,440.221606126
52,445.25,10.0,1.43629183088e-11,455.25,450.22223679
53,455.25,10.0,1.49337881407e-11,465.25,460.222840046
54,465.25,10.0,1.98985851804e-11,475.25,470.223417643
55,475.25,10.0,2.12013260857e-11,485.25,480.223971184
56,485.25,10.0,1.56570072879e-11,495.25,490.224502142
57,495.25,10.0,1.61593699403e-11,505.25,500.22501187
58,505.25,10.0,2.35570790069e-11,515.25,510.225501617
59,515.25,10.0,1.65097130535e-11,525.25,520.225972535
60,525.25,10.0,1.66036629033e-11,535.25,530.22642569
61,535.25,10.0,1.70782026212e-11,545.25,540.226862068
62,545.25,10.0,1.75646963682e-11,555.25,550.227282584
63,555.25,10.0,1.84408386084e-11,565.25,560.227688088
64,565.25,10.0,2.05919863751e-11,575.25,570.228079368
65,575.25,10.0,2.21720993041e-11,585.25,580.228457161
66,585.25,10.0,2.05767275356e-11,595.25,590.228822153
67,595.25,10.0,2.18873926205e-11,605.25,600.229174982
68,605.25,10.0,2.15216702448e-11,615.25,610.229516248
69,615.25,10.0,2.10176426419e-11,625.25,620.229846509
70,625.25,10.0,2.2064652753e-11,635.25,630.230166288
71,635.25,10.0,2.16672747962e-11,645.25,640.230476079
72,645.25,10.0,2.21774388854e-11,655.25,650.23077634
73,655.25,10.0,2.27223722009e-11,665.25,660.231067506
74,665.25,10.0,2.29448610176e-11,675.25,670.231349983
75,675.25,10.0,2.31690435131e-11,685.25,680.231624155
76,685.25,10.0,2.97717220868e-11,695.25,690.231890382
77,695.25,10.0,3.51390764178e-11,705.25,700.232149005
78,705.25,10.0,2.71475519527e-11,715.25,710.232400345
79,715.25,10.0,2.54654299573e-11,725.25,720.232644706
80,725.25,10.0,2.47160745848e-11,735.25,730.232882374
81,735.25,10.0,2.52675084842e-11,745.25,740.23311362
82,745.25,10.0,2.69014160627e-11,755.25,750.233338702
83,755.25,10.0,2.57226901736e-11,765.25,760.233557862
84,765.25,10.0,2.62484256255e-11,775.25,770.233771332
85,775.25,10.0,2.63705226956e-11,785.25,780.233979329
86,785.25,10.0,2.68246544501e-11,795.25,790.234182063
87,795.25,10.0,2.73446146505e-11,805.25,800.234379729
88,805.25,10.0,3.32901449576e-11,815.25,810.234572516
89,815.25,10.0,3.5399234439e-11,825.25,820.234760602
90,825.25,10.0,3.46515882981e-11,835.25,830.234944157
91,835.25,10.0,4.00866712493e-11,845.25,840.235123343
92,845.25,10.0,3.24581412931e-11,855.25,850.235298315
93,855.25,10.0,2.91351883153e-11,865.25,860.235469218
94,865.25,10.0,3.32087263656e-11,875.25,870.235636193
95,875.25,10.0,3.58509709911e-11,885.25,880.235799374
96,885.25,10.0,3.12459816502e-11,895.25,890.23595889
97,895.25,10.0,3.28949476336e-11,905.25,900.236114861
98,905.25,10.0,3.33940562184e-11,915.25,910.236267405
99,915.25,10.0,3.06390247418e-11,925.25,920.236416634
100,925.25,10.0,3.06119178601e-11,935.25,930.236562655
101,935.25,10.0,3.08235764307e-11,945.25,940.236705569
102,945.25,10.0,3.0874691894e-11,955.25,950.236845476
103,955.25,10.0,3.14182947229e-11,965.25,960.236982468
104,965.25,10.0,3.23247376278e-11,975.25,970.237116637
105,975.25,10.0,3.27153892048e-11,985.25,980.237248068
106,985.25,10.0,3.67155227425e-11,995.25,990.237376845
107,995.25,10.0,3.24442714255e-11,1005.25,1000.23750305
108,1005.25,10.0,3.45503081902e-11,1015.25,1010.23762675
109,1015.25,10.0,3.5009222432e-11,1025.25,1020.23774803
110,1025.25,10.0,3.2076590777e-11,1035.25,1030.23786695
111,1035.25,10.0,3.40565822769e-11,1045.25,1040.23798359
112,1045.25,10.0,3.3245650741e-11,1055.25,1050.238098
113,1055.25,10.0,3.38374310184e-11,1065.25,1060.23821026
114,1065.25,10.0,3.29011789566e-11,1075.25,1070.23832042
115,1075.25,10.0,3.43496544906e-11,1085.25,1080.23842854
116,1085.25,10.0,3.51938341336e-11,1095.25,1090.23853468
117,1095.25,10.0,3.66483909268e-11,1105.25,1100.23863889
118,1105.25,10.0,5.46151901026e-11,1115.25,1110.23874122
119,1115.25,10.0,7.25534239788e-11,1125.25,1120.23884172
120,1125.25,10.0,4.07447567367e-11,1135.25,1130.23894045
121,1135.25,10.0,3.31439470281e-11,1145.25,1140.23903744
122,1145.25,10.0,3.32165583474e-11,1155.25,1150.23913275
123,1155.25,10.0,3.4103959239e-11,1165.25,1160.23922641
124,1165.25,10.0,3.4963919846e-11,1175.25,1170.23931847
